"","time","sentsmooth","ARIMA","ARIMAX","ETS","ADL","VAR","FAVAR"
"2021-04-09","2021-04-09",0.27116972,0.19567838038683,0.150406437945545,0.232663118289572,0.19079778632588,0.296019474509898,0.228238816664204
"2021-04-10","2021-04-10",0.2148681,0.223278741802038,0.212304830417083,0.268226521209423,0.259005329669594,0.319810334859895,0.260226186693818
"2021-04-11","2021-04-11",0.18606009,0.167997230646116,0.224884177553841,0.219999692976023,0.263892779425025,0.243001966520315,0.188108668052275
"2021-04-12","2021-04-12",0.071626998,0.144492597124775,0.214696866156977,0.188615569251418,0.218184934497839,0.184304987237707,0.147614312002427
"2021-04-13","2021-04-13",0.044619717,0.114080241406588,0.161676383587513,0.0830421787180621,0.166740936119746,0.102890385812983,0.090277237740034
"2021-04-14","2021-04-14",0.07686656,0.105704301800883,0.100378847485272,0.0471296558023362,0.121153691951769,-0.0446719351063815,0.079868946512224
"2021-04-15","2021-04-15",0.12287351,0.142291674990797,0.0860600494560596,0.0742996355832865,0.0840785284167599,0.145308639853751,0.131957710607912
"2021-04-16","2021-04-16",0.1199697,0.163048850163047,0.0982408206683618,0.119449537798669,0.107091263045803,0.18771982283113,0.153686152725948
"2021-04-17","2021-04-17",0.15440036,0.134850859299134,0.146062653406922,0.119933247005222,0.164392641481971,0.0339919515249932,0.141046272187014
"2021-04-18","2021-04-18",0.17518094,0.146861938159574,0.134468252418333,0.15195263887254,0.149141124621198,0.0969691728183728,0.134028123201879
"2021-04-19","2021-04-19",0.15000556,0.164557262252223,0.149689902245987,0.17354834008065,0.169596145699914,0.184386780342931,0.146677321442349
"2021-04-20","2021-04-20",0.18124413,0.146199280763356,0.161011237535423,0.151671533186163,0.179508324657027,0.14664882298969,0.153782995010407
"2021-04-21","2021-04-21",0.16336416,0.160659854243334,0.154938393452229,0.179134700005438,0.161966540308139,0.162228051533022,0.175269119300195
"2021-04-22","2021-04-22",0.14125325,0.161324147360925,0.165771500359749,0.164491006673969,0.167115304295073,0.196662188749087,0.175003152052835
"2021-04-23","2021-04-23",0.13073809,0.142266711947783,0.158309349140188,0.142909856367719,0.154333093518551,0.128383357845954,0.155697671458181
"2021-04-24","2021-04-24",0.12577307,0.139992056827642,0.151124956224363,0.131603774936621,0.145334974308897,0.0735446251078708,0.156850203401372
"2021-04-25","2021-04-25",0.16232166,0.146798284486645,0.132510559015142,0.12618808138853,0.111586321636341,0.142131310007785,0.169493669917953
"2021-04-26","2021-04-26",0.21815951,0.164454876252332,0.137423196309306,0.159743259504215,0.142927903086411,0.17282906569224,0.173955867588932
"2021-04-27","2021-04-27",0.25823468,0.192530740930902,0.159800587589295,0.214094451406436,0.162379610493719,0.193992479756912,0.206293300605396
"2021-04-28","2021-04-28",0.31495714,0.202676368439406,0.196777000547961,0.253464531836438,0.198123241068864,0.226524123231844,0.236524436693225
"2021-04-29","2021-04-29",0.41456071,0.22242680483632,0.227060993511384,0.308495119259922,0.238908434906104,0.221597547560432,0.25557464522521
"2021-04-30","2021-04-30",0.35934493,0.278602479748803,0.261618470876521,0.406663915059143,0.277058335411073,0.259616350003786,0.303097176525939
"2021-05-01","2021-05-01",0.34117392,0.237146724455563,0.327520138118291,0.363370848225687,0.329995443230304,0.215150866156655,0.273957427031791
"2021-05-02","2021-05-02",0.27775753,0.215150580647661,0.300318942642294,0.343020043324662,0.295646462363797,0.179987298733139,0.239915300317035
"2021-05-03","2021-05-03",0.18903646,0.204458710862407,0.282277762295524,0.283521015286812,0.269656067201431,0.205739445749009,0.225152381104326
"2021-05-04","2021-05-04",0.28398973,0.167270606384659,0.227077602908539,0.194441763716428,0.215335699054167,0.199714140394368,0.192281334275514
"2021-05-05","2021-05-05",0.25122479,0.233815683505776,0.182327268013085,0.2782325684126,0.177231076770672,0.282055116131396,0.271444257127132
"2021-05-06","2021-05-06",0.23423366,0.213783593429584,0.248162030924129,0.253682563000576,0.262017631366117,0.290611809822376,0.247068619268103
"2021-05-07","2021-05-07",0.18705948,0.167654006907988,0.230243703144113,0.23626831508323,0.238015794048794,0.1698093905777,0.19773584079621
"2021-05-08","2021-05-08",0.13168669,0.147015187924261,0.220457731130382,0.188982759686688,0.228270577324634,0.127661583692544,0.170189709007377
"2021-05-09","2021-05-09",0.13737048,0.157079359326721,0.153175802649928,0.134755586171558,0.17998430469637,0.160848721428734,0.166126982489053
"2021-05-10","2021-05-10",0.36257479,0.17265308005784,0.141760823398958,0.137303004409499,0.138331096590838,0.18761720393739,0.201197695648904
"2021-05-11","2021-05-11",0.36790204,0.309344145075257,0.158756370500945,0.348244023616658,0.180431957361773,0.360857168217547,0.332763410650834
"2021-05-12","2021-05-12",0.36928993,0.287501031385572,0.312387034722767,0.366754349476714,0.347762743500609,0.323880363548688,0.290480309206097
"2021-05-13","2021-05-13",0.40623012,0.215603045902248,0.329596981750926,0.369136374513426,0.340036390090838,0.264390767648353,0.224915970806553
"2021-05-14","2021-05-14",0.17054038,0.262188993416978,0.328163720089657,0.403992000418267,0.331631083597419,0.276997381850583,0.255880443145288
"2021-05-15","2021-05-15",0.17657058,0.169845373413947,0.284507141802118,0.186065811471619,0.291435075022225,0.156108897202713,0.182161865626805
"2021-05-16","2021-05-16",0.13739233,0.16305088847265,0.174151119779695,0.178047192016882,0.188664957837131,0.240293214399074,0.188321906023741
"2021-05-17","2021-05-17",0.093896523,0.173629767846052,0.182225427768573,0.139948307529474,0.151211956924285,0.308171135910741,0.227629270753094
"2021-05-18","2021-05-18",0.10714662,0.164910815277531,0.12375661319686,0.0967958268785676,0.161914564249645,0.209317187231944,0.174782617164695
"2021-05-19","2021-05-19",0.10941686,0.146414650009686,0.148665122974814,0.106491989710428,0.116224085610311,0.174144299285776,0.137282860370672
"2021-05-20","2021-05-20",0.12246677,0.155918580735866,0.127903172276938,0.109231611174468,0.121298364415964,0.159990233001882,0.129763542441056
"2021-05-21","2021-05-21",0.15464815,0.172638432558488,0.1319730182358,0.121628816534006,0.1316333158322,0.0607427681417822,0.142657666189057
"2021-05-22","2021-05-22",0.1507445,0.184680021467469,0.145521928331601,0.152567220662204,0.106642263617807,0.0919861700277298,0.1568509825557
"2021-05-23","2021-05-23",0.13033488,0.165461041481024,0.174531588591003,0.150859361914934,0.135056911467402,0.165673291852675,0.156274643757014
"2021-05-24","2021-05-24",0.080171578,0.145474245964773,0.162426499706757,0.131629955366504,0.139456648440555,0.165740669403125,0.183811470159465
"2021-05-25","2021-05-25",0.070889689,0.127008316810228,0.142491220405049,0.0833845742481072,0.113961046338631,0.0615196434599401,0.150628064633251
"2021-05-26","2021-05-26",0.11252885,0.138147346550054,0.100500571186874,0.0716632997061045,0.0928207231242662,0.150581731628892,0.182912881063391
"2021-05-28","2021-05-28",0.10749216,0.174974566075842,0.105642717209672,0.109982315648532,0.0734976316354754,0.255923652962932,0.200583245370913
"2021-05-29","2021-05-29",0.090428516,0.159539105947068,0.139005224472278,0.107647351038187,0.107793801081912,0.0962077511667948,0.189006034581405
"2021-05-30","2021-05-30",0.055231422,0.0915658542426255,0.106218241908628,0.0915050578869695,0.110045897859569,0.0477033329265603,0.154218995524986
"2021-05-31","2021-05-31",0.053955812,0.0980665505400596,0.107813964490443,0.0574844300149295,0.0869883722135879,0.0129683155220563,0.121299067079222
"2021-06-01","2021-06-01",0.087134965,0.121543577029236,0.0727103786474654,0.0541744548562057,0.0343188008107624,0.00805798409625429,0.155539035120702
"2021-06-02","2021-06-02",0.11460894,0.144838138010442,0.0845392346455873,0.085085474384645,0.0672957077820671,0.171502651290918,0.190754154909527
"2021-06-03","2021-06-03",0.17982164,0.140645839870911,0.118384973352151,0.112798304143553,0.098502505921568,0.179559362997682,0.185683250600755
"2021-06-04","2021-06-04",0.22480762,0.169137479062446,0.136390131716492,0.175801070023627,0.158218079278193,0.0547468549543031,0.195738617754106
"2021-06-05","2021-06-05",0.21042114,0.205550996376508,0.170907455552679,0.221981686141565,0.178773200828761,0.084502239152726,0.224378285579917
