"","time","sentsmooth","Series 1","Series 2","Series 3","Series 4","Series 5","Series 6"
"2021-04-08","2021-04-08",0.24085766,0.229490688721985,0.150406437945545,0.232663118289572,0.19079778632588,0.307442686036041,0.255882573390353
"2021-04-09","2021-04-09",0.27116972,0.230429307802477,0.216040068181873,0.267798465138762,0.266965835249627,0.275372231000893,0.236055284025484
"2021-04-10","2021-04-10",0.2148681,0.199804977067998,0.233925434886363,0.21662039139406,0.260297149507282,0.214021327738013,0.216132736425891
"2021-04-11","2021-04-11",0.18606009,0.171380216433876,0.205701724719821,0.186970734497142,0.224841023528811,0.180769780704312,0.149563564401275
"2021-04-12","2021-04-12",0.071626998,0.0750182895387547,0.156370479887494,0.0747201441410572,0.182659895272148,0.0885575416113364,0.0882073754495621
"2021-04-13","2021-04-13",0.044619717,0.0803314505620364,0.0895281971202914,0.045374530163368,0.130148006943903,-0.0227749719739149,0.0448396812435356
"2021-04-14","2021-04-14",0.07686656,0.101859772383265,0.0814439823210499,0.075990654170716,0.0983218986936754,0.0530697342453655,0.104986063179291
"2021-04-15","2021-04-15",0.12287351,0.159907654149545,0.102532304312905,0.121821794776502,0.114666743555134,0.219986485140521,0.153873397710606
"2021-04-16","2021-04-16",0.1199697,0.135331286077541,0.154164622605531,0.120014325479691,0.144321249022411,0.125587630976408,0.126229266639137
"2021-04-17","2021-04-17",0.15440036,0.149534020660028,0.138048620789773,0.153481470487781,0.142692548515483,0.0355179979112167,0.151812123919384
"2021-04-18","2021-04-18",0.17518094,0.165729077081407,0.145692828018195,0.174665896922697,0.161551129631181,0.185280222197571,0.146047240777054
"2021-04-19","2021-04-19",0.15000556,0.161103878047552,0.163923903244342,0.150594826424957,0.177652798245926,0.153260700186172,0.151690614828187
"2021-04-20","2021-04-20",0.18124413,0.167369930585612,0.163884943941237,0.180488771815001,0.166081461904456,0.169416730491774,0.177568999347521
"2021-04-21","2021-04-21",0.16336416,0.14412977254634,0.168894609757849,0.163612563603472,0.147148187558722,0.174863397949627,0.169170973077447
"2021-04-22","2021-04-22",0.14125325,0.145801750038903,0.149026771375429,0.141539580825718,0.143127689881742,0.175131136319985,0.156319612474761
"2021-04-23","2021-04-23",0.13073809,0.130860319398775,0.141515161097839,0.130885258293816,0.149860757472522,0.0700003593533276,0.129949656873841
"2021-04-24","2021-04-24",0.12577307,0.132824477681693,0.127482153336506,0.125843404804806,0.135564625525638,0.103159561626324,0.146224362995384
"2021-04-25","2021-04-25",0.16232166,0.167591252735653,0.13291501547943,0.16181529642608,0.139049324112137,0.197717333397313,0.179255754884764
"2021-04-26","2021-04-26",0.21815951,0.21332796007734,0.166092985819095,0.217474035826947,0.151645148721517,0.183524469465846,0.22087271076295
"2021-04-27","2021-04-27",0.25823468,0.239703749507761,0.213410176815988,0.257823416303814,0.194925750815414,0.260383787549751,0.23338635993249
"2021-04-28","2021-04-28",0.31495714,0.271392691977417,0.239656569076217,0.314495142857192,0.231821728217915,0.284047687132678,0.30711315446484
"2021-04-29","2021-04-29",0.41456071,0.352582460289227,0.274551030559827,0.414240066428931,0.285327929091878,0.318136918960829,0.357992670097404
"2021-04-30","2021-04-30",0.35934493,0.303720494092071,0.352397873313372,0.359778795141976,0.334732209670119,0.315419054478442,0.312042101610554
"2021-05-01","2021-05-01",0.34117392,0.276295751473757,0.308912609720587,0.34130705998367,0.304928396903764,0.213268351733501,0.29683551778688
"2021-05-02","2021-05-02",0.27775753,0.204508279856304,0.274313999414566,0.277764029466186,0.246009211990366,0.216156099055833,0.231488616143311
"2021-05-03","2021-05-03",0.18903646,0.179258401976998,0.203682264864217,0.189045421834383,0.213942133273436,0.221861702688264,0.202095288222917
"2021-05-04","2021-05-04",0.28398973,0.259559833743447,0.180752918402969,0.283584526219398,0.208101363218905,0.247724356370671,0.258310510835871
"2021-05-05","2021-05-05",0.25122479,0.235315582487706,0.258804849615212,0.251436758007956,0.266314791452295,0.266891377874656,0.251707683101024
"2021-05-06","2021-05-06",0.23423366,0.209793412412031,0.227726466381994,0.234338711712117,0.234735002020569,0.237134284225229,0.237901691741621
"2021-05-07","2021-05-07",0.18705948,0.145758332689777,0.212951526689263,0.187313973860881,0.231444793837656,0.115092961267695,0.149114871219424
"2021-05-08","2021-05-08",0.13168669,0.152487434770806,0.138604116687809,0.131866934440378,0.191296019723585,0.100428264231877,0.13339520621355
"2021-05-09","2021-05-09",0.13737048,0.137494460418704,0.148965039612747,0.13735171757683,0.104664368418509,0.176668903063108,0.163083459823356
"2021-05-10","2021-05-10",0.36257479,0.349967456705748,0.141608696166613,0.36208519921851,0.200555461070108,0.386408678595586,0.397280468675626
"2021-05-11","2021-05-11",0.36790204,0.33332515946018,0.329024878033675,0.36789533714653,0.375761043146534,0.337506478773935,0.342078618705935
"2021-05-12","2021-05-12",0.36928993,0.301788752726117,0.325564826529615,0.369289378631794,0.334315376310517,0.364827665591833,0.339906425867556
"2021-05-13","2021-05-13",0.40623012,0.278848959746991,0.321481696509493,0.406226425284688,0.344469742514438,0.309642408002449,0.294193581729268
"2021-05-14","2021-05-14",0.17054038,0.145168255591491,0.284168058967555,0.170563977487135,0.300751351633184,0.135876062601802,0.151430771178044
"2021-05-15","2021-05-15",0.17657058,0.175189943791031,0.147648293592816,0.176569978879437,0.173296916823736,0.134767910220888,0.182985006683503
"2021-05-16","2021-05-16",0.13739233,0.121618853788596,0.155108970551161,0.137396249486097,0.150805563740654,0.197562136903713,0.140864884429848
"2021-05-17","2021-05-17",0.093896523,0.147463003417877,0.114102764317523,0.0939008748837196,0.152375920274943,0.179261252771009,0.185099157998501
"2021-05-18","2021-05-18",0.10714662,0.10936974685486,0.14290644469392,0.107145293563293,0.131491898176574,0.128656036294319,0.112914958962662
"2021-05-19","2021-05-19",0.10941686,0.12390626417921,0.10936507333183,0.109416632717593,0.119115851186471,0.161734525629569,0.111802484768633
"2021-05-20","2021-05-20",0.12246677,0.138233310743105,0.123242512554322,0.122465464860324,0.118337559469761,0.0749191284089725,0.119648526178901
"2021-05-21","2021-05-21",0.15464815,0.173870259227523,0.1360814298774,0.15464492693636,0.136454060033953,0.101946182426074,0.150600326620294
"2021-05-22","2021-05-22",0.1507445,0.15496400883348,0.173381830973144,0.150744890518711,0.156287017726071,0.125561388270443,0.13371983152427
"2021-05-23","2021-05-23",0.13033488,0.134618662420751,0.155367850295014,0.130336921361604,0.135317700126008,0.16209695495412,0.170442704652511
"2021-05-24","2021-05-24",0.080171578,0.0805131698102977,0.134890802946962,0.0801766106691998,0.121110680597584,0.0398648848706208,0.102481038656736
"2021-05-25","2021-05-25",0.070889689,0.0918325994850086,0.0806170147378455,0.0708906185090352,0.0762089464191077,0.0521670398556958,0.107841432739759
"2021-05-26","2021-05-26",0.11252885,0.131420670574433,0.0877061112949558,0.112524682853957,0.0799214192594498,0.244073275265,0.175612902435682
"2021-05-28","2021-05-28",0.10749216,0.143527750656541,0.13335818801212,0.107492663307742,0.132781883719545,0.112850559475733,0.146416949817248
"2021-05-29","2021-05-29",0.090428516,0.106898839009647,0.14340919337964,0.0904302444282525,0.0702032575681402,0.101888459773449,0.132375409004628
"2021-05-30","2021-05-30",0.055231422,0.0611419306924367,0.113401317760384,0.0552349538452783,0.0981684545302685,-0.0131543078405512,0.046243464492474
"2021-05-31","2021-05-31",0.053955812,0.0797709255876579,0.054938694425294,0.053955939979956,0.0207089133398175,0.0371633223797292,0.0949797185727012
"2021-06-01","2021-06-01",0.087134965,0.12587772887649,0.0801018880445366,0.0871316463588221,0.0778723167566111,0.0958238575504887,0.123319026918655
"2021-06-02","2021-06-02",0.11460894,0.149282643324975,0.127728393145236,0.114606191396408,0.0906213079568889,0.221163174074113,0.161817162015614
"2021-06-03","2021-06-03",0.17982164,0.190010229002833,0.143963606739535,0.17981511816298,0.175177316326491,0.164099834213195,0.189831091553361
"2021-06-04","2021-06-04",0.22480762,0.21840780132002,0.184617280157433,0.2248031187966,0.18942139370505,0.168253782018547,0.214308566699207
"2021-06-05","2021-06-05",0.21042114,0.210473582552598,0.219347448023807,0.210422578797352,0.23732801709684,0.18903792595139,0.199987766701051
